
Função Objetivo: 619838


_________________________________________________
|H-S	| sv | 01 | 02 | 03 | 04 | 05 | 06 | 07 |
_________________________________________________
| 1	| 00 | 13 | 00 | 00 | 00 | 14 | 00 | 00 |
| 2	| 00 | 13 | 00 | 00 | 00 | 14 | 00 | 28 |
| 3	| 00 | 13 | 00 | 00 | 00 | 00 | 00 | 28 |
| 4	| 00 | 00 | 42 | 00 | 00 | 41 | 00 | 40 |
| 5	| 00 | 00 | 42 | 00 | 00 | 41 | 00 | 40 |
| 6	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 7	| 00 | 00 | 47 | 17 | 44 | 12 | 00 | 45 |
| 8	| 00 | 00 | 47 | 17 | 44 | 12 | 00 | 45 |
| 9	| 00 | 18 | 00 | 19 | 30 | 61 | 00 | 43 |
| 10	| 00 | 18 | 49 | 19 | 30 | 61 | 00 | 43 |
| 11	| 00 | 18 | 49 | 09 | 56 | 62 | 00 | 20 |
| 12	| 00 | 00 | 00 | 09 | 56 | 62 | 00 | 20 |
| 13	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 14	| 00 | 00 | 68 | 00 | 32 | 38 | 00 | 00 |
| 15	| 00 | 00 | 68 | 00 | 32 | 38 | 00 | 00 |
| 16	| 00 | 08 | 00 | 00 | 67 | 46 | 01 | 00 |
| 17	| 00 | 08 | 00 | 00 | 67 | 46 | 01 | 00 |
| 18	| 00 | 31 | 35 | 00 | 05 | 15 | 25 | 16 |
| 19	| 00 | 31 | 35 | 00 | 05 | 15 | 25 | 16 |
| 20	| 00 | 06 | 28 | 00 | 24 | 15 | 34 | 16 |
| 21	| 00 | 06 | 28 | 00 | 24 | 00 | 34 | 53 |
| 22	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 53 |
| 23	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 24	| 00 | 36 | 54 | 00 | 00 | 00 | 03 | 21 |
| 25	| 00 | 36 | 54 | 00 | 48 | 00 | 03 | 21 |
| 26	| 00 | 02 | 00 | 22 | 48 | 39 | 57 | 55 |
| 27	| 62 | 02 | 00 | 22 | 00 | 39 | 57 | 55 |
| 28	| 62 | 20 | 17 | 07 | 04 | 23 | 00 | 00 |
| 29	| 00 | 20 | 17 | 07 | 04 | 23 | 00 | 00 |
| 30	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 31	| 00 | 59 | 00 | 64 | 11 | 00 | 52 | 26 |
| 32	| 00 | 59 | 00 | 64 | 11 | 00 | 52 | 26 |
| 33	| 00 | 10 | 00 | 74 | 00 | 00 | 00 | 51 |
| 34	| 00 | 10 | 00 | 74 | 00 | 00 | 00 | 51 |
| 35	| 00 | 00 | 14 | 00 | 00 | 00 | 00 | 13 |
| 36	| 00 | 00 | 14 | 00 | 00 | 33 | 00 | 13 |
| 37	| 00 | 00 | 14 | 00 | 00 | 33 | 00 | 13 |
| 38	| 00 | 41 | 49 | 00 | 61 | 50 | 42 | 00 |
| 39	| 00 | 41 | 49 | 00 | 61 | 50 | 42 | 00 |
| 40	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 41	| 00 | 47 | 00 | 00 | 44 | 00 | 37 | 00 |
| 42	| 00 | 47 | 00 | 00 | 44 | 00 | 37 | 00 |
| 43	| 00 | 00 | 30 | 19 | 00 | 00 | 18 | 00 |
| 44	| 00 | 00 | 30 | 19 | 12 | 48 | 18 | 00 |
| 45	| 00 | 56 | 00 | 00 | 12 | 48 | 18 | 09 |
| 46	| 00 | 56 | 00 | 00 | 00 | 00 | 00 | 09 |
| 47	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 48	| 00 | 00 | 38 | 32 | 11 | 52 | 00 | 00 |
| 49	| 00 | 00 | 38 | 32 | 11 | 52 | 00 | 00 |
| 50	| 00 | 08 | 00 | 51 | 01 | 00 | 00 | 00 |
| 51	| 00 | 08 | 00 | 51 | 01 | 00 | 00 | 00 |
| 52	| 00 | 35 | 00 | 15 | 25 | 05 | 31 | 16 |
| 53	| 63 | 35 | 00 | 15 | 25 | 05 | 31 | 16 |
| 54	| 63 | 33 | 24 | 15 | 00 | 06 | 00 | 50 |
| 55	| 00 | 33 | 24 | 00 | 00 | 06 | 58 | 50 |
| 56	| 00 | 00 | 27 | 00 | 00 | 00 | 58 | 29 |
| 57	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 58	| 00 | 00 | 00 | 36 | 21 | 03 | 54 | 45 |
| 59	| 00 | 00 | 00 | 36 | 21 | 03 | 54 | 45 |
| 60	| 00 | 55 | 00 | 00 | 39 | 22 | 02 | 00 |
| 61	| 00 | 55 | 00 | 00 | 39 | 22 | 02 | 00 |
| 62	| 00 | 07 | 23 | 00 | 00 | 00 | 04 | 00 |
| 63	| 00 | 07 | 23 | 00 | 00 | 00 | 04 | 00 |
| 64	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 65	| 00 | 26 | 00 | 00 | 00 | 00 | 59 | 00 |
| 66	| 00 | 26 | 00 | 00 | 00 | 00 | 59 | 00 |
| 67	| 00 | 00 | 67 | 74 | 00 | 00 | 46 | 10 |
| 68	| 00 | 00 | 67 | 74 | 00 | 00 | 46 | 10 |
| 69	| 00 | 00 | 27 | 29 | 00 | 00 | 00 | 00 |
| 70	| 00 | 58 | 27 | 29 | 00 | 00 | 00 | 00 |
| 71	| 00 | 58 | 00 | 00 | 40 | 00 | 00 | 00 |
| 72	| 00 | 00 | 00 | 34 | 40 | 00 | 53 | 63 |
| 73	| 00 | 00 | 00 | 34 | 00 | 00 | 53 | 63 |
| 74	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 75	| 00 | 00 | 00 | 00 | 37 | 43 | 00 | 00 |
| 76	| 00 | 00 | 00 | 00 | 37 | 43 | 00 | 00 |
| 77	| 00 | 00 | 57 | 00 | 00 | 00 | 00 | 00 |
| 78	| 00 | 00 | 57 | 00 | 00 | 00 | 00 | 00 |
| 79	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 69 |
| 80	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 69 |
| 81	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 82	| 00 | 75 | 68 | 00 | 00 | 60 | 00 | 00 |
| 83	| 00 | 75 | 68 | 00 | 00 | 60 | 00 | 00 |
| 84	| 00 | 73 | 00 | 65 | 70 | 00 | 66 | 00 |
| 85	| 00 | 73 | 00 | 65 | 70 | 00 | 66 | 00 |
| 86	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 00 |
| 87	| 00 | 00 | 00 | 71 | 00 | 00 | 00 | 72 |
| 88	| 00 | 00 | 00 | 71 | 00 | 00 | 00 | 72 |
| 89	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 72 |
| 90	| 00 | 00 | 00 | 00 | 00 | 00 | 00 | 72 |
_________________________________________________
